Class,Skewness,Kurtosis,Entropy
1,0.521718485,0.184405626,0.701824018
1,0.254352715,0.466297629,0.765551888
1,0.308942664,0.698951041,0.74015476
0,0.8723952,0.044478429,0.413286414
1,0.697175272,0.194594525,0.334742719
0,0.856989976,0.067249661,0.247851824
0,0.336273185,0.594714283,0.584476754
0,0.261866363,0.589027936,0.728044046
0,0.802089453,0.234348116,0.494412468
0,0.373287633,0.375867491,0.765904689
1,0.580796043,0.163956319,0.648326468
1,0.568406755,0.166321322,0.675013867
0,0.527603303,0.235455662,0.884539495
0,0.866049011,0.053891055,0.417523664
1,0.124274548,0.620328688,0.619756858
1,0.669994425,0.025170698,0.54097675
1,0.47820331,0.274874534,0.857851187
0,0.498722156,0.237817649,0.802588723
1,0.344868231,0.505718655,0.772136083
0,0.377699282,0.392624981,0.925457141
1,0.641036195,0.153182415,0.453149295
0,0.62810808,0.259115601,0.828574156
1,0.574139279,0.229697331,0.67525028
0,0.754859736,0.294513968,0.840566664
0,0.576073819,0.358295819,0.842447966
0,0.607202326,0.336222457,0.761789283
1,0.506852088,0.291817262,0.887012739
1,0.574988681,0.229660413,0.624694254
0,0.928223703,0.364977276,0.332742301
1,0.639565645,0.167721369,0.595888231
0,0.358189241,0.408275357,0.792712113
1,0.18644924,0.571202102,0.735922056
0,0.421213334,0.348736726,0.704763723
1,0.164847501,0.629780085,0.767903289
1,0.636235393,0.169237728,0.542504342
1,0.581727765,0.130923816,0.715345936
1,0.535655779,0.205003554,0.83715686
0,0.740999899,0.140887845,0.771313002
0,0.654046631,0.258045103,0.809291034
0,0.31691656,0.394873673,0.71322913
1,0.432364068,0.296874663,0.85855588
0,0.321874521,0.511995175,0.829514353
1,0.536817251,0.144135955,0.817286342
1,0.609522277,0.263618584,0.749090264
0,0.81502131,0.067215198,0.658437673
0,0.821756652,0.0927176,0.547441738
0,0.782190258,0.171563961,0.796592015
1,0.514362743,0.35530618,0.736392155
1,0.742470449,0.252360911,0.280185857
1,0.581649186,0.257417451,0.735099157
0,0.754934574,0.122950008,0.687832001
1,0.614633654,0.108148276,0.717580039
0,0.897637766,0.07946669,0.412931795
0,0.873326922,0.064591725,0.095001682
0,0.349901028,0.576220734,0.619520445
0,0.404333819,0.329765007,0.84585777
0,0.838404173,0.09873565,0.658319467
0,0.847620366,0.14528184,0.728396847
1,0.598143291,0.093385315,0.766610291
0,0.89004928,0.041450018,0.383771152
0,0.840649287,0.287978978,0.416578012
0,1.0,0.371103022,0.236922266
1,0.589548246,0.127934176,0.668548878
0,0.931011386,0.051711289,0.390472553
0,0.901589167,0.067805372,0.220928012
0,0.894696666,0.170379305,0.279831237
0,0.844600688,0.134357163,0.709819326
0,0.942083541,0.337109871,0.269956445
0,0.770268703,0.30580912,0.721577239
1,0.769568976,0.257270123,0.087245515
1,0.047929444,0.869071876,0.734510852
1,0.173517383,0.630258255,0.717932841
0,0.782268837,0.21415771,0.669721851
0,0.639954798,0.263729295,0.836333961
0,0.762291064,0.213345682,0.725928149
0,0.892062399,0.176100114,0.40188403
1,0.495857016,0.210318995,0.886539913
1,0.004258233,0.986120146,0.550615129
0,0.362986301,0.412445344,0.917464561
1,0.259389254,0.613242294,0.83915546
0,0.541153315,0.261035173,0.887249152
0,0.514207905,0.241767075,0.878665539
0,0.926210584,0.074486829,0.376833338
0,0.591329369,0.321459496,0.76966693
0,0.828495736,0.167389665,0.627158406
1,0.623228699,0.12826588,0.561553779
1,0.610222004,0.09648265,0.66243851
1,0.348894468,0.318469856,0.863024087
0,0.351064745,0.432192474,0.880656865
1,0.268137715,0.435587051,0.739096357
1,0.218891138,0.517013807,0.844916664
1,0.657915711,0.014874965,0.405293834
0,0.573286136,0.22951274,0.952617365
0,0.733332834,0.205557542,0.641388654
1,0.646379566,0.056286213,0.615046783
1,0.763297624,0.219140586,0.153441174
1,0.509871767,0.229623495,0.763082281
0,0.839642728,0.106782691,0.736627659
0,0.858767358,0.129851164,0.710407631
1,0.425239572,0.424735606,0.820577939
1,0.307314956,0.402110841,0.859379688
